# ----------------------------------------
# 1 Master View
# User Explorer
# 20180601-20180926
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
313789176.1525785277,3,00:00:10,66.67%,$0.00,0,0.00%
314314808.1529897221,3,00:00:00,100.00%,$0.00,0,0.00%
315909408.1532458875,3,00:00:16,66.67%,$0.00,0,0.00%
315938633.1528412088,3,00:00:02,66.67%,$0.00,0,0.00%
316601689.1475054266,3,00:11:36,66.67%,$0.00,0,33.33%
316614372.1534997523,3,00:00:27,66.67%,$0.00,0,0.00%
320219196.1529910646,3,00:00:00,100.00%,$0.00,0,0.00%
320284648.1532588704,3,00:00:00,100.00%,$0.00,0,0.00%
320536389.1534577657,3,00:00:04,66.67%,$0.00,0,0.00%
32101486.1535537946,3,00:00:23,66.67%,$0.00,0,0.00%
321785298.1528302946,3,00:00:45,66.67%,$0.00,0,0.00%
322079036.1527381027,3,00:00:00,100.00%,$0.00,0,0.00%
322968963.1532806155,3,00:00:42,66.67%,$0.00,0,0.00%
32560672.1534651253,3,00:00:17,66.67%,$0.00,0,0.00%
325908207.1532764162,3,00:00:00,100.00%,$0.00,0,0.00%
326143598.1529100629,3,00:01:44,66.67%,$0.00,0,33.33%
326771443.1524014420,3,00:00:21,66.67%,$0.00,0,0.00%
32718612.1526236677,3,00:03:18,66.67%,$0.00,0,33.33%
327562658.1531005566,3,00:00:09,66.67%,$0.00,0,0.00%
327726756.1534404317,3,00:01:29,66.67%,$0.00,0,0.00%
327976247.1530277454,3,00:00:00,100.00%,$0.00,0,0.00%
328206552.1532721290,3,00:00:00,100.00%,$0.00,0,0.00%
329870190.1533730504,3,00:00:00,100.00%,$0.00,0,0.00%
330295785.1531250690,3,00:05:22,66.67%,$0.00,0,100.00%
332945174.1532673993,3,00:00:37,66.67%,$0.00,0,33.33%
332966277.1534847965,3,00:00:00,100.00%,$0.00,0,0.00%
333072709.1534240488,3,00:09:51,66.67%,$0.00,0,0.00%
333557587.1529728059,3,00:11:01,66.67%,$0.00,0,0.00%
33400384.1534349591,3,00:00:00,100.00%,$0.00,0,0.00%
335224106.1531829644,3,00:00:00,100.00%,$0.00,0,0.00%
336657029.1535806723,3,00:00:29,66.67%,$0.00,0,0.00%
337002658.1533387717,3,00:00:00,100.00%,$0.00,0,0.00%
337154417.1529577308,3,00:00:34,66.67%,$0.00,0,0.00%
337188109.1534771791,3,00:00:02,66.67%,$0.00,0,0.00%
337905969.1532960473,3,00:01:14,66.67%,$0.00,0,0.00%
338377655.1526287242,3,00:00:00,100.00%,$0.00,0,0.00%
339690984.1534803272,3,00:01:17,66.67%,$0.00,0,33.33%
342491277.1533932893,3,00:00:00,100.00%,$0.00,0,0.00%
342999233.1530118755,3,00:00:00,100.00%,$0.00,0,0.00%
343512855.1528361360,3,00:17:27,66.67%,$0.00,0,0.00%
345597073.1535806922,3,00:04:25,66.67%,$0.00,0,0.00%
347177355.1528350472,3,00:01:30,66.67%,$0.00,0,0.00%
348023158.1533313062,3,00:00:09,66.67%,$0.00,0,0.00%
351156801.1530485394,3,00:01:28,66.67%,$0.00,0,33.33%
351206230.1530046417,3,00:00:17,66.67%,$0.00,0,0.00%
351422305.1527797378,3,00:00:00,100.00%,$0.00,0,0.00%
355073081.1537563276,3,00:01:12,66.67%,$0.00,0,0.00%
356098802.1533857818,3,00:00:00,100.00%,$0.00,0,0.00%
356478319.1529497844,3,00:00:00,100.00%,$0.00,0,0.00%
357773790.1530543071,3,00:07:36,66.67%,$0.00,0,0.00%
358460345.1536221818,3,00:06:40,66.67%,$0.00,0,0.00%
359702520.1534251910,3,00:04:17,66.67%,$0.00,0,0.00%
359798005.1532104129,3,00:02:18,66.67%,$0.00,0,0.00%
359973430.1529956466,3,00:00:00,100.00%,$0.00,0,0.00%
360220777.1535427635,3,00:00:51,66.67%,$0.00,0,0.00%
360317173.1534002152,3,00:02:05,66.67%,$0.00,0,33.33%
361234191.1533023498,3,00:00:07,66.67%,$0.00,0,0.00%
36167048.1532215413,3,00:00:21,66.67%,$0.00,0,0.00%
361908593.1536238829,3,00:07:18,66.67%,$0.00,0,66.67%
365791554.1535030630,3,00:00:13,66.67%,$0.00,0,0.00%
36586766.1527089997,3,00:00:00,100.00%,$0.00,0,0.00%
366560061.1533869030,3,00:06:30,66.67%,$0.00,0,133.33%
368135547.1533435914,3,00:04:22,66.67%,$0.00,0,0.00%
37055141.1526145621,3,00:00:00,100.00%,$0.00,0,0.00%
370790724.1528145985,3,00:00:00,100.00%,$0.00,0,0.00%
37117267.1531575414,3,00:00:11,66.67%,$0.00,0,0.00%
373439100.1500272995,3,00:02:50,66.67%,$0.00,0,0.00%
37380791.1530081594,3,00:00:00,100.00%,$0.00,0,0.00%
37490545.1536393330,3,00:00:00,100.00%,$0.00,0,0.00%
375117445.1526869457,3,00:00:24,66.67%,$0.00,0,33.33%
375489528.1528146684,3,00:00:28,66.67%,$0.00,0,0.00%
376587252.1501402499,3,00:00:22,66.67%,$0.00,0,0.00%
376871950.1534355164,3,00:03:29,66.67%,$0.00,0,133.33%
378976948.1530357998,3,00:00:04,66.67%,$0.00,0,0.00%
379258810.1530131256,3,00:00:12,66.67%,$0.00,0,0.00%
380022204.1532524976,3,00:00:00,100.00%,$0.00,0,0.00%
380494507.1535396254,3,00:01:47,66.67%,$0.00,0,0.00%
382498383.1527879833,3,00:00:13,66.67%,$0.00,0,0.00%
382879392.1533801361,3,00:00:00,100.00%,$0.00,0,0.00%
383522891.1529139479,3,00:00:00,100.00%,$0.00,0,0.00%
385850270.1536225760,3,00:01:39,66.67%,$0.00,0,66.67%
387225780.1523361460,3,00:02:04,66.67%,$0.00,0,0.00%
387430636.1536327742,3,00:06:24,66.67%,$0.00,0,0.00%
388731672.1517685792,3,00:00:04,66.67%,$0.00,0,0.00%
390198515.1529480588,3,00:02:58,66.67%,$0.00,0,0.00%
394443586.1530087174,3,00:03:07,66.67%,$0.00,0,0.00%
395937614.1530585391,3,00:00:03,66.67%,$0.00,0,0.00%
395981318.1533855278,3,00:00:00,100.00%,$0.00,0,0.00%
398457190.1532849263,3,00:00:00,100.00%,$0.00,0,0.00%
39896785.1528300559,3,00:01:13,66.67%,$0.00,0,33.33%
400305230.1532474998,3,00:01:01,66.67%,$0.00,0,33.33%
400615987.1531010564,3,00:00:07,66.67%,$0.00,0,0.00%
401481760.1537021697,3,00:00:14,66.67%,$0.00,0,0.00%
401513832.1533308630,3,00:00:00,100.00%,$0.00,0,0.00%
402160528.1528735646,3,00:00:00,100.00%,$0.00,0,0.00%
402931634.1531210926,3,00:00:35,66.67%,$0.00,0,0.00%
404123157.1531467581,3,00:00:00,100.00%,$0.00,0,0.00%
405422239.1535073772,3,00:00:00,100.00%,$0.00,0,0.00%
406307273.1534946507,3,00:00:31,66.67%,$0.00,0,0.00%
408584146.1532059758,3,00:00:27,66.67%,$0.00,0,0.00%
409696303.1530931853,3,00:00:00,100.00%,$0.00,0,0.00%
410699625.1528010077,3,00:00:46,66.67%,$0.00,0,0.00%
410807181.1531964119,3,00:00:42,66.67%,$0.00,0,0.00%
411056813.1529596429,3,00:17:24,66.67%,$0.00,0,0.00%
412516594.1530605908,3,00:00:02,66.67%,$0.00,0,0.00%
415441461.1531928336,3,00:03:23,66.67%,$0.00,0,0.00%
415746888.1528401987,3,00:03:36,66.67%,$0.00,0,66.67%
416655955.1523636649,3,00:00:09,66.67%,$0.00,0,0.00%
417188781.1534339579,3,00:00:04,66.67%,$0.00,0,0.00%
417878176.1531590128,3,00:00:00,100.00%,$0.00,0,0.00%
418337474.1532236212,3,00:00:00,100.00%,$0.00,0,0.00%
418914415.1535974842,3,00:20:52,66.67%,$0.00,0,66.67%
421265795.1528274731,3,00:02:19,66.67%,$0.00,0,0.00%
423200757.1532067173,3,00:00:00,100.00%,$0.00,0,0.00%
42411234.1531325932,3,00:00:02,66.67%,$0.00,0,0.00%
425227076.1535767061,3,00:00:50,66.67%,$0.00,0,33.33%
425323386.1530752626,3,00:03:20,66.67%,$0.00,0,0.00%
427014408.1531912412,3,00:00:00,100.00%,$0.00,0,0.00%
428211814.1534563646,3,00:04:25,66.67%,$0.00,0,0.00%
428344889.1532690323,3,00:00:00,100.00%,$0.00,0,0.00%
428723737.1525343335,3,00:00:00,100.00%,$0.00,0,0.00%
432477238.1531569286,3,00:00:57,66.67%,$0.00,0,0.00%
432875432.1529884421,3,00:01:51,66.67%,$0.00,0,33.33%
433030876.1532329644,3,00:00:03,66.67%,$0.00,0,0.00%
433479158.1529605560,3,00:08:21,66.67%,$0.00,0,0.00%
434493613.1530465739,3,00:00:00,100.00%,$0.00,0,0.00%
434509242.1534997535,3,00:00:08,66.67%,$0.00,0,0.00%
434994856.1534700544,3,00:00:00,100.00%,$0.00,0,0.00%
438147289.1536846467,3,00:00:05,66.67%,$0.00,0,0.00%
440819601.1528753271,3,00:03:01,66.67%,$0.00,0,66.67%
441436662.1530197615,3,00:07:01,66.67%,$0.00,0,0.00%
441529914.1531861853,3,00:00:00,100.00%,$0.00,0,0.00%
441815008.1529609556,3,00:01:33,66.67%,$0.00,0,0.00%
442615003.1534295703,3,00:00:03,66.67%,$0.00,0,0.00%
445653966.1529623618,3,00:00:12,66.67%,$0.00,0,0.00%
445988211.1535327094,3,00:00:23,66.67%,$0.00,0,0.00%
447343277.1534178881,3,00:00:00,100.00%,$0.00,0,0.00%
448815966.1533777987,3,00:02:21,66.67%,$0.00,0,0.00%
450241017.1534351365,3,00:00:00,100.00%,$0.00,0,0.00%
450917751.1520270047,3,00:03:46,66.67%,$0.00,0,0.00%
45182302.1531256090,3,00:00:04,66.67%,$0.00,0,0.00%
45213781.1529449667,3,00:02:42,66.67%,$0.00,0,0.00%
452521458.1526378015,3,00:00:38,66.67%,$0.00,0,0.00%
453130700.1532500184,3,00:00:11,66.67%,$0.00,0,0.00%
453289399.1506793393,3,00:01:29,66.67%,$0.00,0,0.00%
454298391.1528681580,3,00:00:00,100.00%,$0.00,0,0.00%
45560972.1530687467,3,00:00:00,100.00%,$0.00,0,0.00%
458144968.1532600765,3,00:00:00,100.00%,$0.00,0,0.00%
462962629.1536211903,3,00:00:43,66.67%,$0.00,0,0.00%
463143929.1534953332,3,00:00:38,66.67%,$0.00,0,0.00%
463580610.1528222480,3,00:01:19,66.67%,$0.00,0,0.00%
464425149.1529425884,3,00:00:43,66.67%,$0.00,0,0.00%
464494809.1534753651,3,00:00:12,66.67%,$0.00,0,0.00%
466279193.1527887101,3,00:01:01,66.67%,$0.00,1,66.67%
46659768.1521563166,3,00:00:00,100.00%,$0.00,0,0.00%
467244642.1532168709,3,00:01:02,66.67%,$0.00,0,66.67%
468602651.1530499939,3,00:00:06,66.67%,$0.00,0,0.00%
4687884.1529551199,3,00:08:58,66.67%,$0.00,0,100.00%
469023118.1529112784,3,00:00:00,100.00%,$0.00,0,0.00%
469204734.1526497399,3,00:00:03,66.67%,$0.00,0,0.00%
470062544.1528766450,3,00:00:00,100.00%,$0.00,0,0.00%
47038420.1530846421,3,00:00:00,100.00%,$0.00,0,0.00%
470465086.1532940386,3,00:07:03,66.67%,$0.00,0,0.00%
472047913.1527914289,3,00:00:04,66.67%,$0.00,0,0.00%
473374059.1534412126,3,00:00:16,66.67%,$0.00,0,0.00%
473627349.1534291988,3,00:00:44,66.67%,$0.00,0,0.00%
473767093.1533969536,3,00:04:00,66.67%,$0.00,0,66.67%
475598636.1529433486,3,00:01:54,66.67%,$0.00,0,33.33%
477008218.1527854119,3,00:00:00,100.00%,$0.00,0,0.00%
477125713.1537291327,3,00:00:00,100.00%,$0.00,0,0.00%
477126001.1531728469,3,00:00:10,66.67%,$0.00,0,0.00%
47722190.1527220671,3,00:00:00,100.00%,$0.00,0,0.00%
478067132.1536786605,3,00:00:19,66.67%,$0.00,0,0.00%
47814955.1535124219,3,00:00:02,66.67%,$0.00,0,0.00%
47826758.1531619475,3,00:00:00,100.00%,$0.00,0,0.00%
